,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
457,Berkley,Mary Balogh,0399586075,2017-11-26,SOMEONE TO WED,1,3
458,Pantheon,Alexander McCall Smith,1101871385,2017-11-26,THE HOUSE OF UNEXPECTED SISTERS,1,5
459,Simon & Schuster,Richard Paul Evans,1501172034,2017-11-26,THE NOEL DIARY,1,3
460,Kristen Ashley,Kristen Ashley,None,2017-11-26,COMPLICATED,1,1
461,Howard Books,Karen Kingsbury,1451687621,2017-11-26,IN THIS MOMENT,1,3
462,Avon,Eloisa James,0062389483,2017-11-19,WILDE IN LOVE,1,3
463,Flatiron Books,Mark Frost,1250163307,2017-11-19,TWIN PEAKS: THE FINAL DOSSIER,1,5
464,HQN,Diana Palmer,0373803729,2017-11-19,WYOMING WINTER,1,2
465,Putnam,Stuart Woods,0735217165,2017-11-12,QUICK & DIRTY,1,3
466,St. Martin's,Iris Johansen,1466887230,2017-11-12,MIND GAME,1,2
467,Simon & Schuster,Alice Hoffman,1501137492,2017-10-29,THE RULES OF MAGIC,1,4
468,Oak Press,Bella Andre,1945253460,2017-10-29,YOU DO SOMETHING TO ME,1,5
469,Ballantine,Debbie Macomber,0399181237,2017-10-22,MERRY AND BRIGHT,1,3
470,Atria,Colleen Hoover,1501170635,2017-10-22,WITHOUT MERIT,1,2
471,"Little, Brown",Elin Hilderbrand,0316435481,2017-10-22,WINTER SOLSTICE,1,2
472,HQN,Susan Mallery,None,2017-10-15,SECOND CHANCE GIRL,1,3
473,HQN,RaeAnne Thayne,0373803680,2017-10-15,SUGAR PINE TRAIL,1,3
474,Berkley,Nalini Singh,0451488253,2017-10-15,ARCHANGEL'S VIPER,1,2
475,Avon,Lynsay Sands,0062468863,2017-10-15,IMMORTALLY YOURS,1,2
476,Putnam,Jan Karon,0399183736,2017-10-08,TO BE WHERE YOU ARE,1,5
477,Mira,Heather Graham,1460398858,2017-10-08,WICKED DEEDS,1,2
478,Atria/Keywords,Gabbie Hanna,1501178326,2017-10-08,ADULTOLESCENCE,1,1
479,Gallery Books,Catherine Coulter,1501138111,2017-10-01,ENIGMA,1,1
480,Putnam,Clive Cussler and Robin Burcell,0399575553,2017-10-01,THE ROMANOV RANSOM,1,3
481,Putnam,Reed Farrel Coleman,0698166612,2017-10-01,THE HANGMAN'S SONNET,1,3
482,Atria/Emily Bestler,Vince Flynn,1501180800,2017-10-01,AMERICAN ASSASSIN,1,2
483,Berkley,Christine Feehan,None,2017-09-24,DARK LEGACY,1,2
484,Viking,Craig Johnson,0698157540,2017-09-24,THE WESTERN STAR,1,3
485,Morrow,J A Jance,0062657569,2017-09-24,PROOF OF LIFE,1,3
486,Waterhouse,Helen Hardt,None,2017-09-17,SHATTERED,1,1
487,Riverhead,Gabriel Tallent,0735211191,2017-09-17,MY ABSOLUTE DARLING,1,3
488,HQN,Susan Mallery,1488028443,2017-09-10,YOU SAY IT FIRST,1,4
489,Avon,Tessa Dare,0062349074,2017-09-10,THE DUCHESS DEAL,1,3
490,Penelope Ward,Penelope Ward,1942215665,2017-09-10,DRUNK DIAL,1,2
491,Ballantine,Tess Gerritsen,0345543890,2017-09-03,I KNOW A SECRET,1,4
492,St. Martin's,Lisa Scottoline,1250099730,2017-09-03,EXPOSED,1,1
493,Orbit,N K Jemisin,0316229253,2017-09-03,THE STONE SKY,1,3
494,Algonquin,Gabrielle Zevin,1616203943,2017-09-03,THE STORIED LIFE OF A. J. FIKRY,1,7
495,Ballantine,Debbie Macomber,0399181202,2017-08-27,ANY DREAM WILL DO,1,4
496,Putnam,Stuart Woods and Parnell Hall,0735217254,2017-08-27,BARELY LEGAL,1,2
