,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,142996023X,302,555,73,147850,268353,11940,3.99
0,0345527593,382,624,119,259730,425630,20860,3.99
0,1455586587,174,376,9,54787,99305,3479,4.16
0,1455521167,288,1291,34,45456,76943,2898,4.16
0,0547416113,402,622,75,1326754,2062993,47112,3.91
0,0804178828,550,1403,58,54213,92311,3739,3.97
0,110198760X,348,664,47,61147,127277,5007,4.2
0,0062414216,126598,275349,12690,153290,316527,14227,3.42
0,1455586501,216,1181,26,36364,62720,2141,4.18
0,031640716X,15,25,0,18790,43307,1176,4.04
0,1455586439,313,1278,34,41623,71558,2683,4.16
0,1101989750,229,503,22,33776,65492,2802,4.0
0,0385354290,367,737,73,136721,268610,13012,3.77
0,0440245117,812,1798,143,60491,96850,5983,3.85
0,0385543980,64,99,14,34284,98246,2559,4.09
0,052595497X,37001,101564,3734,68184,167170,5352,4.2
0,1250069815,146,246,44,232147,539259,19494,3.57
0,0446401315,177,298,18,151387,269042,7660,4.0
0,0804178755,586,1170,57,58788,97792,3882,3.95
0,145552123X,33,54,11,44057,75689,2668,4.08
0,1455521280,70,131,14,54960,86884,3187,4.09
0,031612723X,103,200,17,34337,59798,2622,4.01
0,125013093X,34,54,9,216459,456396,21535,3.84
0,1616207604,141,244,42,250258,592840,22144,3.96
0,1455586633,4,12,0,34509,71527,2168,4.15
0,0345543017,254,483,26,41467,77311,3925,3.82
0,0812998618,154,313,53,161849,352307,16563,3.48
0,1250072689,710,1635,76,39627,70149,4010,3.94
0,1501111671,34412,81341,3735,46332,105041,5004,3.92
0,0440246326,669,1408,84,60344,99516,4202,4.05
0,0307351939,538,873,132,434603,731701,25440,4.01
0,0316210692,74,179,19,22176,47719,1637,3.89
0,0345527704,19425,40413,637,73967,121201,5171,3.96
0,0446573078,106,184,11,43874,67494,1943,4.14
0,0316069388,171,279,28,56818,82733,3103,4.19
0,0316225916,15,25,3,46620,93543,3449,4.26
0,0451494334,14,25,2,62054,123977,5159,3.77
0,0316225975,57,98,10,57643,112581,5082,4.05
0,0316225959,24,46,3,55979,92179,4000,4.33
0,0316407143,20,38,3,23510,46538,1872,4.23
